Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,25.000000,263,6,19864,5292306,0.977695,0.986933,0.013063,0.013013
MidWest,1,JJA,1,50.000000,260,9,11428,5292306,0.966543,0.977755,0.022228,0.022178
MidWest,1,JJA,1,75.000000,253,16,5755,5292306,0.940520,0.957889,0.041999,0.041950
MidWest,1,JJA,1,100.000000,220,49,2707,5292306,0.817844,0.924838,0.073925,0.073878
MidWest,1,JJA,1,150.000000,106,163,522,5292306,0.394052,0.831210,0.134008,0.133973
MidWest,1,JJA,1,200.000000,51,218,131,5292306,0.189591,0.719780,0.127500,0.127480
MidWest,1,JJA,1,250.000000,24,245,34,5292306,0.089219,0.586207,0.079208,0.079199
MidWest,1,JJA,1,300.000000,11,258,19,5292306,0.040892,0.633333,0.038194,0.038189
MidWest,1,JJA,1,350.000000,7,262,14,5292306,0.026022,0.666667,0.024735,0.024731
MidWest,1,JJA,1,400.000000,3,266,11,5292306,0.011152,0.785714,0.010714,0.010712
MidWest,1,JJA,1,450.000000,3,266,8,5292306,0.011152,0.727273,0.010830,0.010828
MidWest,1,JJA,1,500.000000,1,268,7,5292306,0.003717,0.875000,0.003623,0.003622
MidWest,1,JJA,1,600.000000,1,268,5,5292306,0.003717,0.833333,0.003650,0.003649
MidWest,1,JJA,1,700.000000,1,268,2,5292306,0.003717,0.666667,0.003690,0.003689
MidWest,1,SON,2,25.000000,128,5,8831,5438022,0.962406,0.985713,0.014279,0.014255
MidWest,1,SON,2,50.000000,126,7,4528,5438022,0.947368,0.972927,0.027033,0.027009
MidWest,1,SON,2,75.000000,122,11,2223,5438022,0.917293,0.947974,0.051783,0.051760
MidWest,1,SON,2,100.000000,110,23,1080,5438022,0.827068,0.907563,0.090684,0.090662
MidWest,1,SON,2,150.000000,51,82,238,5438022,0.383459,0.823529,0.137466,0.137450
MidWest,1,SON,2,200.000000,21,112,63,5438022,0.157895,0.750000,0.107143,0.107133
MidWest,1,SON,2,250.000000,8,125,16,5438022,0.060150,0.666667,0.053691,0.053688
