Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,25.000000,265,4,21716,5259936,0.985130,0.987944,0.012054,0.012003
MidWest,1,JJA,1,50.000000,262,7,12781,5259936,0.973978,0.979913,0.020077,0.020027
MidWest,1,JJA,1,75.000000,259,10,6877,5259936,0.962825,0.963705,0.036244,0.036195
MidWest,1,JJA,1,100.000000,238,31,3629,5259936,0.884758,0.938454,0.061057,0.061009
MidWest,1,JJA,1,150.000000,179,90,984,5259936,0.665428,0.846088,0.142857,0.142816
MidWest,1,JJA,1,200.000000,121,148,370,5259936,0.449814,0.753564,0.189358,0.189327
MidWest,1,JJA,1,250.000000,76,193,172,5259936,0.282528,0.693548,0.172336,0.172312
MidWest,1,JJA,1,300.000000,56,213,99,5259936,0.208178,0.638710,0.152174,0.152156
MidWest,1,JJA,1,350.000000,35,234,73,5259936,0.130112,0.675926,0.102339,0.102325
MidWest,1,JJA,1,400.000000,25,244,57,5259936,0.092937,0.695122,0.076687,0.076675
MidWest,1,JJA,1,450.000000,22,247,46,5259936,0.081784,0.676471,0.069841,0.069831
MidWest,1,JJA,1,500.000000,19,250,36,5259936,0.070632,0.654545,0.062295,0.062286
MidWest,1,JJA,1,600.000000,16,253,28,5259936,0.059480,0.636364,0.053872,0.053865
MidWest,1,JJA,1,700.000000,16,253,18,5259936,0.059480,0.529412,0.055749,0.055743
MidWest,1,SON,2,25.000000,132,1,11370,5404794,0.992481,0.988524,0.011475,0.011451
MidWest,1,SON,2,50.000000,130,3,5709,5404794,0.977444,0.977736,0.022253,0.022229
MidWest,1,SON,2,75.000000,129,4,3033,5404794,0.969925,0.959203,0.040745,0.040722
MidWest,1,SON,2,100.000000,124,9,1721,5404794,0.932331,0.932791,0.066882,0.066860
MidWest,1,SON,2,150.000000,90,43,583,5404794,0.676692,0.866270,0.125698,0.125678
MidWest,1,SON,2,200.000000,63,70,272,5404794,0.473684,0.811940,0.155556,0.155538
MidWest,1,SON,2,250.000000,39,94,137,5404794,0.293233,0.778409,0.144444,0.144431
MidWest,1,SON,2,300.000000,26,107,92,5404794,0.195489,0.779661,0.115556,0.115544
MidWest,1,SON,2,350.000000,19,114,70,5404794,0.142857,0.786517,0.093596,0.093586
MidWest,1,SON,2,400.000000,16,117,54,5404794,0.120301,0.771429,0.085561,0.085553
MidWest,1,SON,2,450.000000,14,119,46,5404794,0.105263,0.766667,0.078212,0.078205
MidWest,1,SON,2,500.000000,12,121,38,5404794,0.090226,0.760000,0.070175,0.070169
MidWest,1,SON,2,600.000000,5,128,26,5404794,0.037594,0.838710,0.031447,0.031442
MidWest,1,SON,2,700.000000,4,129,17,5404794,0.030075,0.809524,0.026667,0.026663
MidWest,1,DJF,3,25.000000,44,1,2930,5498100,0.977778,0.985205,0.014790,0.014782
MidWest,1,DJF,3,50.000000,43,2,1263,5498100,0.955556,0.967075,0.032875,0.032867
MidWest,1,DJF,3,75.000000,41,4,630,5498100,0.911111,0.938897,0.060741,0.060733
MidWest,1,DJF,3,100.000000,37,8,342,5498100,0.822222,0.902375,0.095607,0.095600
MidWest,1,DJF,3,150.000000,21,24,160,5498100,0.466667,0.883978,0.102439,0.102433
MidWest,1,DJF,3,200.000000,8,37,86,5498100,0.177778,0.914894,0.061069,0.061063
MidWest,1,DJF,3,250.000000,4,41,66,5498100,0.088889,0.942857,0.036036,0.036031
MidWest,1,DJF,3,300.000000,1,44,39,5498100,0.022222,0.975000,0.011905,0.011901
MidWest,1,DJF,3,350.000000,0,45,28,5498100,0.000000,1.000000,0.000000,-0.000003
MidWest,1,DJF,3,400.000000,0,45,24,5498100,0.000000,1.000000,0.000000,-0.000003
MidWest,1,DJF,3,450.000000,0,45,15,5498100,0.000000,1.000000,0.000000,-0.000002
MidWest,1,DJF,3,500.000000,0,45,10,5498100,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,600.000000,0,45,8,5498100,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,700.000000,0,45,4,5498100,0.000000,1.000000,0.000000,-0.000001
MidWest,1,MAM,4,25.000000,145,4,13451,5528283,0.973154,0.989335,0.010662,0.010635
MidWest,1,MAM,4,50.000000,143,6,6114,5528283,0.959732,0.977146,0.022833,0.022806
MidWest,1,MAM,4,75.000000,137,12,2873,5528283,0.919463,0.954485,0.045334,0.045309
MidWest,1,MAM,4,100.000000,126,23,1391,5528283,0.845638,0.916941,0.081818,0.081794
